id,anchovy,bluecrab,bluefish,butter,calico,clearnosesk,cunner,dog,fluke,herring,hog,horse,jack,king,littlesk,lizard,mantis,menhaden,naked,pipe,puffer,robin,sand,scad,scup,seabass,seagoby,silverside,smallfl,spider,spot,spothake,squid,strrobin,tautog,toad,tomcod,weak,window,winterfl,wintersk,StartDepth,EndDepth,SurfaceSalinity,BottomSalinity,SurfaceDO,BottomDO,SurfaceTemp,BottomTemp,Secchi,Year,Week,Month,Date,Station,Season,StartLat,EndLat,StartLong,EndLong
19872015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.572,4.2672,20.5,21,0,9.1,13.5,13.5,3.048,1987,20,may,13/05/1987,15,spring,NA,NA,NA,NA
19872019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25819889,0,0.365148372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25819889,0,0,0.25819889,0.816496581,0,4.572,3.6576,21.8,19.8,0,8.2,14,13.8,2.5908,1987,20,may,14/05/1987,19,spring,NA,NA,NA,NA
19872020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,5.4864,5.4864,22,21,0,8,13.5,14,2.7432,1987,20,may,14/05/1987,20,spring,NA,NA,NA,NA
19872029,0.946432563,0,0,0,0,0,0,0,0,0.307874536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068842839,0,0,0,0,0,0,0,0,0,0,0,0.068842839,0,8.5344,7.62,22.6,20,0,7.7,14.1,14,2.4384,1987,20,may,14/05/1987,29,spring,NA,NA,NA,NA
19872033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0.577350269,0.577350269,0,1.524,1.8288,20,21,0,9.2,14,14,2.4384,1987,20,may,13/05/1987,33,spring,NA,NA,NA,NA
19872036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2672,3.048,17.5,20.5,0,8.7,16,14.5,2.1336,1987,20,may,12/05/1987,36,spring,NA,NA,NA,NA
19872040,0.973530274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086386843,0.211603685,0,7.62,9.144,22.5,22,0,8,14.5,14,3.3528,1987,20,may,14/05/1987,40,spring,NA,NA,NA,NA
19872055,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.881917104,0,6.7056,7.0104,20,21.5,0,8.5,14,13.5,2.4384,1987,20,may,12/05/1987,55,spring,NA,NA,NA,NA
1987206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0.816496581,0,6.4008,6.096,20,20.5,0,8.7,13.5,13.9,2.7432,1987,20,may,13/05/1987,6,spring,NA,NA,NA,NA
19872060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4384,3.6576,21,22,0,9.2,16,16,0,1987,20,may,14/05/1987,60,spring,NA,NA,NA,NA
19872134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,3.048,3.048,20.5,20.5,0,7.9,16.5,15,1.524,1987,21,may,21/05/1987,34,spring,NA,NA,NA,NA
19872144,0,0,0,0,0,0,0,0,0,0.829156198,0,0,0,0,0,0,0.176776695,0,0.176776695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,6.096,6.096,21,21.5,0,7.7,17,15,1.524,1987,21,may,21/05/1987,44,spring,NA,NA,NA,NA
19872146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377964473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9258201,0,3.048,3.048,21,21,0,7.7,16,15,1.6764,1987,21,may,21/05/1987,46,spring,NA,NA,NA,NA
19872156,0,0,0,0,0,0,0,0,0,0.816496581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,6.096,0,21,21.5,0,7.7,16,15,1.3716,1987,21,may,21/05/1987,56,spring,NA,NA,NA,NA
19872166,0,0,0,0,0,0,0,0,0.223606798,0.866025404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595,0,7.0104,6.7056,21,18.5,0,7.5,15,14,1.3716,1987,21,may,21/05/1987,66,spring,NA,NA,NA,NA
19872170,0,0,0,0,0,0,0,0,0,0.935414347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,3.048,1.8288,20,21.5,0,0,16.5,14,1.6764,1987,21,may,21/05/1987,70,spring,NA,NA,NA,NA
19872317,0,0,0,0,0,0,0,0,0,0.860855057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508850245,0,6.4008,6.096,22.5,22,0,7.3,19.5,18.5,1.8288,1987,23,june,02/06/1987,17,spring,NA,NA,NA,NA
19872325,0,0,0,0,0.594088526,0,0,0,0.242535625,0,0,0.420084025,0,0,0,0,0,0,0.242535625,0.242535625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542326145,0,0.9144,0.6096,25.5,25,0,7.3,20,20,1.8288,1987,23,june,03/06/1987,25,spring,NA,NA,NA,NA
19872327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389249472,0.174077656,0.426401433,0,0,0.797724035,0,3.048,2.7432,25,23.5,0,7.2,20,19.5,1.524,1987,23,june,03/06/1987,27,spring,NA,NA,NA,NA
1987233,0,0,0,0,0.162221421,0,0,0.114707867,0,0,0,0,0,0,0,0,0,0,0,0.114707867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162221421,0,0,0.114707867,0.952835105,0,8.5344,5.1816,23,22.5,0,8.3,19,18,1.9812,1987,23,june,02/06/1987,3,spring,NA,NA,NA,NA
19872330,0,0,0,0,0,0,0,0,0,0.420084025,0,0.242535625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874474632,0,6.7056,3.3528,22,22.5,0,7,21,19,1.3716,1987,23,june,02/06/1987,30,spring,NA,NA,NA,NA
19872337,0.464990555,0,0,0,0.164398987,0,0,0.592748978,0.164398987,0.232495277,0,0,0,0,0,0,0.284747399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493196962,0,4.572,4.8768,25.5,24,0,7.3,19,19,1.6764,1987,23,june,03/06/1987,37,spring,NA,NA,NA,NA
19872338,0.657128741,0,0,0,0,0,0,0.261116484,0,0.603022689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369274473,0,8.5344,7.3152,23,22,0,7.4,20,20,1.8288,1987,23,june,02/06/1987,38,spring,NA,NA,NA,NA
19872340,0.2,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.824621125,0,9.4488,8.8392,23,22.5,0,7.6,20,18.5,1.8288,1987,23,june,02/06/1987,40,spring,NA,NA,NA,NA
19872343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261242,0,0,0,0.963624112,0,4.2672,4.572,22,22,0,7.1,20,20,1.6764,1987,23,june,03/06/1987,43,spring,NA,NA,NA,NA
19872348,0,0,0,0,0,0,0,0,0,0.816496581,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9624,5.7912,22.5,22,0,7.4,20,20,1.524,1987,23,june,02/06/1987,48,spring,NA,NA,NA,NA
19872362,0,0,0,0,0.083333333,0,0,0,0,0.901387819,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.166666667,0,0,0,0.372677996,0,3.6576,3.3528,21.5,20.5,0,6.8,20.5,18.5,1.8288,1987,23,june,01/06/1987,62,spring,NA,NA,NA,NA
19872365,0,0,0,0,0,0,0,0,0,0.994995798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040790851,0,0,0,0,0,0,0,0.091211115,0,7.3152,7.0104,23,18.5,0,8.2,22,18,2.286,1987,23,june,01/06/1987,65,spring,NA,NA,NA,NA
19872366,0.182574186,0,0,0,0.182574186,0,0,0,0,0.826639785,0,0,0,0,0,0,0.129099445,0,0.182574186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595,0,7.3152,7.3152,24.7,19,0,7.1,17.5,22,2.5908,1987,23,june,01/06/1987,66,spring,NA,NA,NA,NA
19872372,0.078811041,0,0,0,0,0,0,0,0,0.995330714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055727821,0,0,0,0,0,5.7912,5.4864,22,17.5,0,7.2,21,18,2.286,1987,23,june,01/06/1987,72,spring,NA,NA,NA,NA
19872373,0,0,0,0,0,0,0,0,0,0.654653671,0,0,0,0,0,0,0.188982237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731925055,0,7.0104,6.7056,22,21,0,6.7,21,17.5,2.1336,1987,23,june,01/06/1987,73,spring,NA,NA,NA,NA
19872377,0.645497224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675135,0,0,0,0.707106781,0,3.048,3.9624,21.4,21.5,0,7.2,22,18.5,1.9812,1987,23,june,01/06/1987,77,spring,NA,NA,NA,NA
19872411,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612372436,0,3.3528,3.048,24,23,0,7.5,20,20,1.8288,1987,24,june,09/06/1987,11,spring,NA,NA,NA,NA
